Form,Type,Mentions,Entity,Metadata
Compagnies,ORG,1,?,
Conseil fédéral du Nord,ORG,1,?,
coron des Deux-Cent-Quarante,LOC,1,?,
coron Paie-tes-Dettes,LOC,1,?,
Cougny,LOC,3,?,
Crèvecoeur,LOC,15,?,
Crimée,LOC,1,?,
Cron,LOC,1,?,
Dansaert,PER,33,Monsieur Dansaert,
Darwin,PER,3,Charles Darwin,
Davy,PER,1,Humphry Davy,
de la ferme Paillot,LOC,1,?,
Deneulin,PER,43,Monsieur Deneulin,
des Bas-de-Soie,LOC,2,?,
des Belges,MISC,1,?,
des Borains,MISC,3,?,
Des Borains,MISC,1,?,
des Chantiers,LOC,1,?,
des Chantiers de la Compagnie,LOC,1,?,
des Compagnies,ORG,1,?,
des Cosaques,MISC,1,?,
des Forges,LOC,2,?,
des Forges de Marchiennes,LOC,1,?,
des Français,MISC,1,?,
des Grégoire,PER,3,Famille Grégoire,
des Herbes-Rousses,LOC,1,?,
Des Herbes-Rousses,LOC,1,?,
des jeans-foutre,MISC,1,?,
des Levaque,PER,2,Famille Levaque,
des Maheu,PER,4,Famille Maheu,
des mines de Montsou,LOC,2,?,
des Pierron,PER,3,Famille Pierron,
des Quatre-Chemins,LOC,1,?,
des Soixante-Seize,LOC,1,?,
Désirée,PER,4,Désirée Levaque,
Desrumaux,PER,1,Baron Desrumaux,
Dieu,PER,94,Dieu,
Douai,LOC,3,?,
douze Belges,MISC,1,?,
du bois à Cruchot,LOC,1,?,
du Bon-Joyeux,LOC,5,?,
du Borinage,LOC,2,?,
du carreau du Voreux,LOC,1,?,
du coron des Deux-Cent-Quarante,LOC,2,?,
du gouvernement de Toula,LOC,1,?,
du Hainaut,LOC,1,?,
du Midi,LOC,1,?,
du Nord,LOC,1,?,
du Nord,MISC,2,?,
du Pas-de-Calais,LOC,2,?,
du père Bonnemort,PER,3,Monsieur Rasseneur,
du père Mouque,PER,1,Père Mouque,
du père Quandieu,PER,1,Père Quandieu,
du petit Négrel,PER,1,Paul Négrel,
du porion Richomme,PER,1,Monsieur Richomme,
Du Pré-des-Vaches,LOC,1,?,
du puits Sainte-Barbe,LOC,1,?,
du Rhin,LOC,1,?,
du Tartaret,LOC,4,?,
du Torrent,LOC,2,?,
du vieux Mouque,PER,1,Père Mouque,
du Volcan,LOC,3,?,
du Voreux,LOC,33,?,
Du Voreux,LOC,1,?,
Estelle,PER,40,Estelle Maheu,
Étienne,PER,497,Étienne Lantier,
Étienne Lantier,PER,2,Étienne Lantier,
Eugène,PER,1,Eugène Grégoire,
famille des Maheu,PER,1,Famille Maheu,
Félicien,PER,1,Félicien Grégoire,
Feutry-Cantel,LOC,11,?,
Fleurance,PER,3,Fleurance,
fosse Réquillart,LOC,1,?,
France,LOC,1,?,
Francis,PER,1,Francis,
Gaston-Marie,LOC,16,?,
Genève,LOC,1,?,
Guillaume Maheu,PER,1,Guillaume Maheu,
Hennebeau,PER,3,Philippe Hennebeau,
Henri,PER,34,Henri Maheu,
Henri II,MISC,1,?,
Henry,PER,1,Henri Maheu,
Hippolyte,PER,15,Hippolyte,
Honoré,PER,1,Honoré Grégoire,
Honoré Grégoire,PER,1,Honoré Grégoire,
Honorine,PER,12,Honorine,
Internationale,ORG,4,?,
Jean-Bart,LOC,31,?,
Jean-Bart,PER,1,Jean-Bart,
Jeanlin,PER,122,Jeanlin Maheu,
Jeanne,PER,21,Jeanne Deneulin,
Jésus,PER,1,Jésus Christ,
Joiselle,LOC,11,?,
Jules,PER,3,Soldat Jules,
Karl Marx,PER,2,Karl Marx,
l ' abbé Joire,PER,4,Abbé Joire,
l ' abbé Ranvier,PER,6,Abbé Ranvier,
L ' Amérique,LOC,1,?,
l ' Amérique,LOC,1,?,
l ' Angleterre,LOC,1,?,
l ' Association,ORG,1,?,
L ' Association,ORG,1,?,
l ' Association des travailleurs,ORG,1,?,
l ' Association internationale des travailleurs,ORG,1,?,
l ' Avantage,LOC,17,?,
l ' École des Mines,ORG,1,?,
l ' École polytechnique,ORG,1,?,
l ' Église,ORG,7,?,
l ' Empereur,PER,1,Napoléon III de France,
l ' Empire,ORG,2,?,
l ' épicier Verdonck,PER,1,Monsieur Verdonck,
l ' estaminet du Progrès,LOC,3,?,
l ' estaminet Lenfant,LOC,3,?,
l ' estaminet Piquette,LOC,7,?,
l ' estaminet Saint-Éloi,LOC,2,?,
l ' estaminet Tison,LOC,5,?,
l ' estaminet Vincent,LOC,1,?,
l ' État,ORG,2,?,
l ' Europe,LOC,1,?,
l ' Homme,PER,1,l'Homme noir,
l ' Homme noir,PER,3,l'Homme noir,
l ' Impératrice,PER,1,Eugénie de France,
l ' Inde,LOC,1,?,
l ' ingénieur Négrel,PER,3,Paul Négrel,
l ' Internationale,ORG,15,?,
L ' Internationale,ORG,1,?,
l ' occident,LOC,1,?,
l ' Orient,LOC,1,?,
l ' orient,LOC,2,?,
la Belgique,LOC,1,?,
la Bourse de Lille,ORG,1,?,
la Brûlé,PER,31,Mère Brûlé,
La Brûlé,PER,1,Mère Brûlé,
la Charbonnerie,LOC,1,?,
la Compagnie,ORG,104,?,
La Compagnie,ORG,10,?,
la Compagnie d ' Anzin,ORG,2,?,
la Compagnie de Montsou,ORG,2,?,
la Compagnie des mines de Montsou,ORG,1,?,
La Compagnie des mines de Montsou,ORG,1,?,
la corderie Bleuze,LOC,2,?,
la Côte-Verte,LOC,2,?,
la Croix-de-Pierre,LOC,1,?,
la descente d ' Audierne,LOC,1,?,
la Direction,LOC,3,?,
la Direction,ORG,12,?,
La Direction,ORG,1,?,
la Fédération du Nord,ORG,1,?,
la ferme Paillot,LOC,1,?,
la forêt de Vandame,LOC,5,?,
la fosse Jean-Bart,LOC,1,?,
la Fourche-aux-Boeufs,LOC,3,?,
la galerie nord de Mirou,LOC,2,?,
la galerie Nord du Voreux,LOC,1,?,
la gare de Marchiennes,LOC,1,?,
la Grand ' Combe,LOC,1,?,
la Légion d ' honneur,ORG,2,?,
la Levaque,PER,48,Madame Levaque,
La Levaque,PER,7,Madame Levaque,
la Maheude,PER,138,Madame Maheu,
La Maheude,PER,41,Madame Maheu,
la mère Brûlé,PER,3,Mère Brûlé,
la minoterie Dutilleul,LOC,2,?,
la Mouquette,PER,50,Mouquette,
La Mouquette,PER,3,Mouquette,
la petite église du coron des Deux-Cent-Quarante,LOC,1,?,
la Picardie,LOC,1,?,
la Pierronne,PER,41,Madame Pieronne,
La Pierronne,PER,3,Madame Pieronne,
la Piolaine,LOC,21,?,
la Provence,LOC,1,?,
la Régie,LOC,4,?,
La Régie,LOC,1,?,
la Régie,ORG,14,?,
la Régie de Montsou,ORG,2,?,
la rivière de la Scarpe,LOC,1,?,
la Roussie,PER,1,la Roussie,
la route de Joiselle,LOC,2,?,
la ruelle de Réquillart,LOC,2,?,
La ruelle de Réquillart,LOC,1,?,
la Scarpe,LOC,2,?,
la société Cornille et Jenard,ORG,1,?,
"la société Desrumaux , Fauquenoix et Cie",ORG,1,?,
la sucrerie Fauvelle,LOC,3,?,
la sucrerie Hoton,LOC,2,?,
la veine Cinq-Paumes,LOC,1,?,
la veine Désirée,LOC,1,?,
la veine Dix-Huit-Pouces,LOC,1,?,
la veine Filonnière,LOC,2,?,
la veine Guillaume,LOC,5,?,
La veine Guillaume,LOC,1,?,
la veine Maugrétout,LOC,1,?,
la verrerie Gagebois,LOC,2,?,
la veuve Désir,PER,10,veuve Désir,
La veuve Désir,PER,2,veuve Désir,
la Victoire,LOC,16,?,
la vieille fosse Gaston-Marie,LOC,1,?,
le baron Desrumaux,PER,1,Baron Desrumaux,
Le Bon-Joyeux,LOC,1,?,
le bord de la Scarpe,LOC,1,?,
le cabaret de l ' Avantage,LOC,1,?,
le chemin de Vandame,LOC,1,?,
le cocher Francis,PER,1,Francis,
le coron des Bas-de-Soie,LOC,1,?,
le coron des Deux-Cent-Quarante,LOC,6,?,
Le coron des Deux-Cent-Quarante,LOC,2,?,
Le cousin Charles,PER,1,cousin Charles,
le débit de la Tête-Coupée,LOC,3,?,
le docteur Vanderhaghen,PER,6,Docteur Vanderhaghen,
Le docteur Vanderhaghen,PER,1,Docteur Vanderhaghen,
le grand Chaval,PER,2,Chaval,
le logeur Bouteloup,PER,1,Louis Bouteloup,
le mercredi,LOC,1,?,
le midi,MISC,1,?,
le Pas-de-Calais,LOC,2,?,
le père Bonnemort,PER,20,Monsieur Rasseneur,
Le père Bonnemort,PER,3,Monsieur Rasseneur,
le père Mouque,PER,9,Père Mouque,
Le père Mouque,PER,1,Père Mouque,
le père Quandieu,PER,2,Père Quandieu,
le père Richomme,PER,1,Monsieur Richomme,
le petit Jeanlin,PER,1,Jeanlin Maheu,
le petit Négrel,PER,5,Paul Négrel,
Le porion Richomme,PER,2,Monsieur Richomme,
le porion Richomme,PER,5,Monsieur Richomme,
le Rouge,PER,1,Nicolas Maheu,
le Saut-du-Loup,LOC,1,?,
Le Tartaret,LOC,1,?,
le Tartaret,LOC,2,?,
le Torrent,LOC,1,?,
le vieux Bonnemort,PER,7,Monsieur Rasseneur,
Le vieux Bonnemort,PER,5,Monsieur Rasseneur,
le vieux Mouque,PER,8,Père Mouque,
Le vieux Mouque,PER,1,Père Mouque,
Le Volcan,LOC,1,?,
le Voreux,LOC,32,?,
Le Voreux,LOC,3,?,
Legoujeux,PER,2,Monsieur Legoujeux,
Lénore,PER,35,Lénore Maheu,
Léon,PER,1,Léon Grégoire,
Léon Grégoire,PER,2,Léon Grégoire,
Lerenard,PER,1,Lerenard,
les Ardennes,LOC,1,?,
Les Belges,MISC,1,?,
les Borains,MISC,6,?,
les campagnes du Nord,MISC,1,?,
les Chantiers de la Compagnie,LOC,2,?,
les Chantiers de la Compagnie,ORG,1,?,
les Compagnies,MISC,1,?,
les Cosaques,MISC,1,?,
les Deneulin,PER,1,Monsieur Deneulin,
les deux boulangers Carouble et Smelten,PER,1,Monsieur Carouble et Monsieur Smelten,
Les grandes Compagnies,MISC,1,?,
les Grégoire,PER,27,Famille Grégoire,
Les Grégoire,PER,4,Famille Grégoire,
les Hennebeau,PER,5,Famille Hennebeau,
Les Hennebeau,PER,1,Famille Hennebeau,
les jean-foutre,MISC,1,?,
les jeans-foutre,MISC,2,?,
les Levaque,PER,10,Famille Levaque,
Les Levaque,PER,1,Famille Levaque,
les Maheu,PER,29,Famille Maheu,
Les Maheu,PER,3,Famille Maheu,
les Parisiens,MISC,1,?,
les Pierron,PER,2,Famille Pierron,
les Sociétés coopératives,MISC,1,?,
les Sociétés coopératives,ORG,1,?,
Levaque,PER,81,Monsieur Levaque,
Lille,LOC,18,?,
Londres,LOC,3,?,
Louis,PER,2,Louis Bouteloup,
Louis XV,MISC,1,?,
Louis-Philippe,PER,1,Louis-Philippe I de France,
Lucie,PER,19,Lucie Deneulin,
Lydie,PER,56,Lydie Pierron,
M. Dansaert,PER,1,Monsieur Dansaert,
M. Deneulin,PER,3,Monsieur Deneulin,
M. Grégoire,PER,29,Monsieur Grégoire,
M. Hennebeau,PER,84,Monsieur Hennebeau,
M. Négrel,PER,1,Paul Négrel,
madame Grégoire,PER,13,Madame Grégoire,
Madame Grégoire,PER,5,Madame Grégoire,
madame Hennebeau,PER,42,Madame Hennebeau,
Madame Hennebeau,PER,10,Madame Hennebeau,
madame Maigrat,PER,1,Madame Maigrat,
Madame Rasseneur,PER,5,Madame Rasseneur,
madame Rasseneur,PER,12,Madame Rasseneur,
Madeleine,LOC,14,?,
Maheu,PER,223,Toussaint Maheu,
Maigrat,PER,36,Monsieur Maigrat,
Marchiennes,LOC,45,?,
Marchiennes,PER,1,Marchiennes,
Marseille,LOC,2,?,
Mélanie,PER,8,Mélanie,
Mirou,LOC,13,?,
Mon Dieu,PER,13,Dieu,
mon Dieu,PER,18,Dieu,
monsieur Dansaert,PER,4,Monsieur Dansaert,
monsieur Deneulin,PER,3,Monsieur Deneulin,
Monsieur Grégoire,PER,1,Monsieur Grégoire,
monsieur Grégoire,PER,1,Monsieur Grégoire,
monsieur Hennebeau,PER,3,Monsieur Hennebeau,
monsieur Maigrat,PER,3,Monsieur Maigrat,
monsieur Négrel,PER,1,Paul Négrel,
Montoire,LOC,3,?,
Montsou,LOC,150,?,
Montsou,PER,1,Montsou,
Moscou,LOC,3,?,
Mouque,PER,14,Père Mouque,
Mouquet,PER,31,Mouquet,
Mouquette,PER,6,Mouquette,
Napoléon,PER,1,Napoléon Bonaparte,
Négrel,PER,66,Paul Négrel,
nègres,MISC,1,?,
Nicolas Maheu,PER,1,Nicolas Maheu,
Orient,LOC,1,?,
Ostende,LOC,1,?,
Paris,LOC,27,?,
Paul,PER,15,Paul Négrel,
Paul Négrel,PER,3,Paul Négrel,
pays de Cocagne,LOC,1,?,
Philomène,PER,35,Philomène Négrel,
Philomène Levaque,PER,1,Philomène Levaque,
Pierron,PER,55,Monsieur Pierron,
Pierrot,PER,1,Pierrot,
Piquette,LOC,4,?,
Plogof,LOC,3,?,
Pluchart,PER,32,Monsieur Pluchart,
pointe du Raz,LOC,1,?,
Pologne,PER,13,lapin Pologne,
pont de la Scarpe,LOC,1,?,
Pont-l ' Abbé,LOC,1,?,
Preuilly,LOC,1,?,
Proudhon,PER,1,Pierre-Joseph Proudhon,
Rasseneur,PER,91,Monsieur Rasseneur,
Réquillar,LOC,1,?,
Réquillart,LOC,47,?,
Réquillart,PER,2,Réquillart,
Richomme,PER,6,Monsieur Richomme,
Rose,PER,5,Rose,
rue de la Goutte-d ' Or,LOC,1,?,
Russe,MISC,1,?,
Russie,LOC,2,?,
saint Crépin,PER,1,Saint Crépin,
saint Éloi,PER,1,Éloi de Noyon,
Saint-Pétersbourg,LOC,1,?,
Saint-Thomas,LOC,12,?,
sainte Barbe,PER,1,Barbara d’Héliopolis,
Sauvagnat,PER,1,Monsieur Sauvagnat,
Smelten,PER,1,Monsieur Smelten,
Sodome,LOC,1,?,
Sonneville,LOC,2,?,
Souvarine,PER,55,Monsieur Souvarine,
ton Internationale,ORG,1,?,
Toussaint Maheu,PER,2,Toussaint Maheu,
trois francs,LOC,1,?,
trois heures,LOC,1,?,
Trompette,PER,13,cheval Trompette,
un Belge,MISC,1,?,
un Conseil général,ORG,1,?,
un jean-foutre,MISC,1,?,
un Jésus,MISC,2,?,
Une Thébaïde,MISC,1,?,
Valençay,LOC,1,?,
Valenciennes,LOC,3,?,
Vandame,LOC,26,?,
veine Filonnière,LOC,2,?,
Verdonck l ' épicier,PER,1,Monsieur Verdonck,
Vincent Maheu,PER,1,Vincent Maheu,
votre Compagnie,ORG,1,?,
Zacharie,PER,111,Zacharie Maheu,
