Form,Type,Mentions,Entity,Metadata
Bonaparte,PER,1,Napoléon Bonaparte,
Bonnières,LOC,1,?,
Bougival,LOC,3,?,
Bouguereau,PER,1,William-Adolphe Bouguereau,
boulevard Malesherbes,LOC,2,?,
Cambronne,LOC,1,?,
campagne de Paris,LOC,1,?,
Cannes,LOC,7,?,
Canteleu,LOC,5,?,
Carapin,PER,1,Monsieur Carapin,
Carleville,LOC,1,?,
Cazolles,PER,1,Marquis de Cazolles,
ce Christ-là,PER,1,Jésus Christ,
ce Jésus,MISC,1,?,
Ce Langremont,PER,1,Louis Langremont,
ces Walter,PER,1,Famille Walter,
César,PER,1,Gaius Julius Caesar,
Charles,PER,32,Charles Forestier,
Charles Forestier,PER,2,Charles Forestier,
Chatou,LOC,2,?,
Chaussée-d ' Antin,LOC,1,?,
Chiliens,MISC,1,?,
Chine,LOC,2,?,
Chinois,MISC,1,?,
Chinois,PER,1,Peuple Chinois,
Cicéron,PER,1,Marcus Tullius Cicero,
Clo,PER,15,Clotilde de Marelle,
Clotilde,PER,23,Clotilde de Marelle,
Clotilde de Marelle,PER,1,Clotilde de Marelle,
comte de Vaudrec,PER,1,Comte de Vaudrec,
Croisset,LOC,1,?,
D. de Cantel,PER,3,Georges Duroy,
de Marelle,PER,1,Clotilde de Marelle,
Delft,LOC,1,?,
Deo,PER,1,Dieu,
des Arabes,MISC,3,?,
des bords de la Seine,LOC,1,?,
des Chambres,ORG,2,?,
des demoiselles Walter,PER,1,Demoiselles Walter,
des Espagnoles,MISC,1,?,
des Forestier,PER,1,Famille Forestier,
des îles de Lérins,LOC,1,?,
des Indiens,MISC,1,?,
des Juives,MISC,1,?,
des Mauresques,MISC,1,?,
des Parisiens,MISC,1,?,
des Walter,PER,2,Famille Walter,
Detaille,MISC,1,?,
Didon,PER,1,Didon,
Dieu,MISC,1,?,
Dieu,PER,13,Dieu,
Domino rose,PER,2,Barone de Livar,
Don Quichotte,MISC,1,?,
Don Quichotte,PER,1,Don Quichotte de la Manche,
du baron Georges Du Roy,PER,1,Georges Duroy,
du Bois,LOC,3,?,
du bon Dieu,PER,1,Dieu,
du café Américain,LOC,1,?,
du Cannet,LOC,1,?,
du chemin de fer de l ' Ouest,LOC,1,?,
du chemin de fer du Nord,ORG,1,?,
du Christ,MISC,2,?,
du comte de Vaudrec,PER,7,Comte de Vaudrec,
du Conseil,ORG,2,?,
du Continental,LOC,1,?,
du docteur Ipéca,PER,1,Major Simbretas,
du Forestier,PER,2,Charles Forestier,
du golfe Juan,LOC,1,?,
du juif Walter,PER,1,Monsieur Walter,
du Maroc,LOC,12,?,
du marquis de Cazolles,PER,1,Marquis de Cazolles,
du Midi,LOC,1,?,
du ministère de la Marine,LOC,2,?,
du Mzab,ORG,1,?,
du Nord,ORG,1,?,
du Parlement,ORG,2,?,
du patron,PER,2,Monsieur Walter,
du père Duroy,PER,2,Alexandre Duroy,
du père Walter,PER,2,Monsieur Walter,
du portique de la Madeleine,LOC,1,?,
du prince de Carlsbourg,PER,1,Prince de Carlsbourg,
du Rhin,LOC,1,?,
Du Roy,PER,108,Georges Duroy,
du Roy,PER,2,Georges Duroy,
du Roy de Cantel,PER,2,Georges Duroy,
Du Roy de Cantel,PER,1,Georges Duroy,
du Sahara,LOC,1,?,
du sixième arrondissement de Paris,LOC,2,?,
du Sud,MISC,1,?,
du Vaudeville,LOC,1,?,
du Vésinet,LOC,1,?,
du village de Canteleu,LOC,1,?,
du Voltaire,MISC,1,?,
Durand de l ' Aine,PER,1,Monsieur Durand de l'Aine,
Duroy,PER,290,George Duroy,
Duroy de Cantel,PER,2,George Duroy,
État,ORG,5,?,
Européen,MISC,1,?,
évêque de Tanger,PER,1,Évêque de Tanger,
faubourg de Saint-Sever,LOC,1,?,
Fervacques,PER,1,Monsieur Fervacques,
Firmin,PER,1,Madame Firmin,
Forestier,PER,136,Charles Forestier,
Forestier et Cie,MISC,1,?,
Forestier-Du Roy,PER,1,Familles Forestier et Duroy,
Foucart,PER,2,Monsieur Foucart,
France,LOC,2,?,
G. R. C.,PER,1,George Duroy,
gare des Batignolles,LOC,1,?,
Garin,PER,1,Monsieur Garin,
Gaspard Merleron,PER,1,Gaspard Merleron,
Gastine-Renette,PER,1,Gastine Renette,
Gauthier,PER,1,Monsieur Gauthier,
Geo,PER,1,George Duroy,
Géo,PER,1,George Duroy,
George,PER,1,George Duroy,
Georges,PER,122,George Duroy,
Georges Du Roy,PER,6,George Duroy,
Georges Du Roy de Cantel,PER,1,George Duroy,
Georges Duroy,PER,19,George Duroy,
Gervex,PER,1,Henri Gervex,
Guillaumet,PER,1,Monsieur Guillaumet,
Guillemet,PER,1,Antoine Guillemet,
Henry,PER,1,Henry,
Hindous,MISC,1,?,
Inde,LOC,1,?,
Indien,PER,1,Peuple Indien,
Israël,LOC,2,?,
Jacques,PER,1,Jacques Rival,
Jacques Lenoble,PER,1,Jacques Lenoble,
Jacques Rival,PER,27,Jacques Rival,
Japonais,MISC,1,?,
Jean Béraud,PER,1,Jean Béraud,
Jean Le Dol,PER,1,Jean Le Dol,
Jean-Paul Laurens,PER,1,Jean-Paul Laurens,
Jésus,MISC,9,?,
Jésus,PER,5,Jésus Christ,
Jésus-Christ,PER,1,Jean-Paul Laurens,
Johannisberg,LOC,1,?,
juif,MISC,2,?,
Juliette,PER,1,Juliette Capulet,
Karl Marcowitch,PER,3,Karl Marcowitch,
l ' Académie,ORG,3,?,
l ' Afrique,LOC,4,?,
l ' Afrique centrale,LOC,1,?,
l ' Algérie,LOC,14,?,
L ' Algérie,LOC,1,?,
l ' Américain,LOC,2,?,
L ' Amiral-Duperré,MISC,1,?,
l ' Angleterre,LOC,3,?,
l ' aqueduc de Marly,LOC,1,?,
l ' Arabe,MISC,1,?,
l ' arc de triomphe de l ' Étoile,LOC,2,?,
L ' arc de triomphe de l ' Étoile,LOC,1,?,
l ' Armée,ORG,1,?,
l ' avenue des Champs-Élysées,LOC,2,?,
l ' avenue du bois de Boulogne,LOC,1,?,
l ' avenue du Bois-de-Boulogne,LOC,2,?,
l ' Église,ORG,2,?,
l ' église de la Madeleine,LOC,1,?,
l ' Église romaine,ORG,1,?,
L ' Espagne,LOC,1,?,
l ' Espagne,LOC,1,?,
l ' Estérel,LOC,1,?,
l ' État,ORG,1,?,
l ' État français,ORG,1,?,
l ' État Français,ORG,1,?,
l ' Éternel,PER,1,Dieu,
l ' Europe,LOC,1,?,
l ' Extrême-Orient,LOC,1,?,
l ' extrémité de l ' Afrique,LOC,1,?,
l ' Hindou,PER,1,Peuple Hindou,
l ' Homme-Dieu,PER,2,Jésus Christ,
l ' hôtel Bristol,LOC,2,?,
l ' hôtel de Carlsbourg,LOC,1,?,
l ' île Sainte-Marguerite,LOC,1,?,
l ' Odéon,LOC,1,?,
l ' Opéra,LOC,4,?,
l ' Université,ORG,1,?,
la bande à Walter,PER,1,Vie Française,
la Banque,ORG,1,?,
la Banque Walter,ORG,1,?,
la baronne de Livar,PER,1,Barone de Livar,
la Chambre,LOC,2,?,
la Chambre,ORG,5,?,
la Chambre des députés,LOC,2,?,
la Chambre des députés,ORG,1,?,
la Compagnie Transatlantique,ORG,1,?,
la dame Aubert,PER,3,Madame Aubert,
la duchesse de Terracine,PER,1,Duchesse de Terracine,
la famille Walter,PER,1,Famille Walter,
la forêt de Saint-Germain,LOC,1,?,
la Foudre,LOC,1,?,
la France,LOC,4,?,
La France,LOC,2,?,
la gare des Batignolles,LOC,1,?,
la gare Saint-Lazare,LOC,2,?,
la Légion d ' honneur,ORG,3,?,
la ligne du Nord,ORG,1,?,
la Madeleine,LOC,6,?,
la manufacture d ' alfa de Aïn-el-Hadjar,LOC,1,?,
la Marelle,PER,1,Clotilde de Marelle,
la mé Brulin,PER,1,Mère Brulin,
la mé Duroy,PER,1,Mère Duroy,
la Méditerranée,LOC,1,?,
La mère Duroy,PER,2,Mère Duroy,
la Morgue,LOC,1,?,
la Normandie,LOC,1,?,
la patronne,PER,1,Virginie Walter,
la Patronne,PER,13,Virginie Walter,
la place de l ' Opéra,LOC,1,?,
la place de la Concorde,LOC,1,?,
La place de la Trinité,LOC,1,?,
la pointe d ' Antibes,LOC,1,?,
la pointe de la Croisette,LOC,1,?,
la Province,LOC,1,?,
la province d ' Oran,LOC,2,?,
la pyramide de Chéops,LOC,1,?,
la régence de Tripoli,LOC,1,?,
La Reine Blanche,LOC,2,?,
la reine d ' Espagne,MISC,1,?,
La Roche-Guyon,LOC,2,?,
la rue Boursault,LOC,1,?,
la rue de Bourgogne,LOC,1,?,
la rue de Constantinople,LOC,4,?,
la rue de Londres,LOC,1,?,
la rue de Rome,LOC,2,?,
la rue des Martyrs,LOC,1,?,
la rue Drouot,LOC,1,?,
la rue du Faubourg-Montmartre,LOC,1,?,
la rue du Faubourg-Saint-Honoré,LOC,1,?,
la rue Notre-Dame-de-Lorette,LOC,2,?,
la rue Royale,LOC,1,?,
la Seine,LOC,8,?,
La Seine,LOC,1,?,
La terre d ' Afrique,LOC,1,?,
la tribu des Ouled-Alane,ORG,1,?,
la Trinité,LOC,3,?,
la Tunisie,LOC,1,?,
la Vengeance,MISC,1,?,
La vicomtesse de Percemur,PER,4,Vicomtesse de Percemur,
la vicomtesse de Percemur,PER,3,Vicomtesse de Percemur,
la Vie française,LOC,1,?,
la Vie Française,LOC,3,?,
La Vie Française,ORG,1,?,
la Vie Française,ORG,1,?,
la villa Jolie,LOC,1,?,
Lacrin,PER,1,Monsieur Lacrin,
Laloigne,PER,1,Madame Laloigne,
Lamaneur,PER,1,Maitre Lamaneur,
Lambert,PER,1,George Lambert,
Landeck,PER,1,Monsieur Landeck,
Langremont,PER,1,Louis Langremont,
Lapalme,PER,1,Monsieur Lapalme,
Laroche,PER,18,Monsieur Laroche-Mathieu,
Laroche-Mathieu,PER,15,Monsieur Laroche-Mathieu,
Laurine,PER,17,Laurine de Marelle,
le baron Du Roy de Cantel,PER,1,Georges Duroy,
le Bois,LOC,1,?,
le bois de Boulogne,LOC,1,?,
le boulevard Malesherbes,LOC,3,?,
le chemin des Lacs,LOC,1,?,
le chevalier Valréali,PER,1,Chevalier Valréali,
le Chinois,PER,1,Peuple Chinois,
le Christ,MISC,1,?,
le Christ,PER,1,Jésus Christ,
Le Christ,PER,1,Jésus Christ,
le cimetière de Cannes,LOC,1,?,
Le Colbert,MISC,1,?,
le comte de Lambert-Sarrazin,PER,1,Count de Lambert-Serrazin,
le comte de Latour-Yvelin,PER,3,Comte de Latour-Yvelin,
Le comte de Latour-Yvelin,PER,2,Comte de Latour-Yvelin,
le comte de Vaudrec,PER,7,Comte de Vaudrec,
le comte et la comtesse de Ravenel,PER,2,Comte et comtesse de Ravenel,
le Coq-Faisan,LOC,1,?,
Le député Laroche-Mathieu,PER,1,Monsieur Laroche-Mathieu,
le docteur Gavaut,PER,1,Docteur Gavaut,
le docteur Ipéca,PER,1,Major Simbretas,
Le docteur Le Brument,PER,2,Docteur le Brument,
le duc de Ramorano,PER,1,Duc de Ramorano,
le duc et la duchesse de Ferracine,PER,1,Duc et Duchesse de Ferracine,
le général Belloncle,PER,2,Général Belloncle,
le général Boutin d ' Acre,PER,1,Général Boutin d’Acre,
le général chinois Li-Theng-Fao,PER,1,Général Li-Theng Fao,
Le général de Raynaldi,PER,1,Général de Raynaldi,
le général prince d ' Andremont,PER,1,Général Prince d’Andremont,
le golfe Juan,LOC,1,?,
Le Jésus,MISC,1,?,
le juif Walter,PER,1,Monsieur Walter,
le major Simbretas,PER,1,Major Simbretas,
le Maroc,LOC,2,?,
le marquis de Banjolin,PER,1,Marquis de Banjolin,
le Marquis de Cazolles,PER,1,Marquis de Cazolles,
le marquis de Cazolles,PER,2,Marquis de Cazolles,
le ménage de Marelle,PER,1,Famille Marelle,
Le ménage Forestier,PER,1,Famille Forestier,
le Midi,LOC,2,?,
le Mont-Valérien,LOC,1,?,
le Mzab,LOC,1,?,
le Palais-Bourbon,LOC,1,?,
le parc Monceau,LOC,2,?,
le patron,PER,9,Monsieur Walter,
le Patron,PER,6,Monsieur Walter,
Le patron,PER,9,Monsieur Walter,
le peintre Joséphin Roudet,PER,1,Joséphin Roudet,
Le père Duroy,PER,2,Alexandre Duroy,
le père Lathuille,PER,1,Monsieur Lathuille,
Le père Walter,PER,9,Monsieur Walter,
le père Walter,PER,5,Monsieur Walter,
le pont d ' Asnières,LOC,1,?,
le prince de Guerche,PER,2,Prince de Guerche,
le prince de Kravalow,PER,1,Prince de Kravalow,
le quartier Montmartre,LOC,1,?,
le rajah Taposahib Ramaderao Pali,PER,1,Rajah Taposahib Ramaderao Pali,
le Sahara,LOC,1,?,
le Seigneur,PER,1,Dieu,
le Sénat,ORG,1,?,
le sénateur Rissolin,PER,2,Sénateur Rissolin,
Le sieur Duroy,PER,1,George Duroy,
le sous-officier Georges Duroy,PER,1,George Duroy,
Le Suffren,MISC,1,?,
le Tabernacle,LOC,1,?,
le Vaudeville,LOC,2,?,
Le vieux Duroy,PER,1,Alexandre Duroy,
Lebègue,PER,1,Professor Lebègue,
les Anglais,MISC,1,?,
les Arabes,MISC,1,?,
les avenues du Bois,LOC,1,?,
les bureaux de la Vie Française,LOC,3,?,
les Chambres,ORG,1,?,
les Champs-Élysées,LOC,3,?,
les coteaux d ' Argenteuil,LOC,1,?,
Les Du Roy,PER,2,Famille Duroy,
les Du Roy,PER,1,Famille Duroy,
les environs de Paris,MISC,1,?,
les Folies-Bergère,LOC,1,?,
Les Folies-Bergère,LOC,1,?,
les Forestier,PER,5,Famille Forestier,
les hauteurs de Sannois,LOC,1,?,
les Indes,LOC,1,?,
les juifs,MISC,1,?,
les moulins d ' Orgemont,LOC,1,?,
les Rothschild,PER,1,Famille Rotschild,
les Walter,PER,6,Famille Walter,
Les Walter,PER,1,Famille Walter,
Lesbos,LOC,1,?,
Lope de Vega,PER,1,Félix Lope de Vega,
Louis Langremont,PER,3,Louis Langremont,
Louis XVI,MISC,2,?,
Louis XVI,PER,2,Louis XVI de France,
Louise Michot,PER,1,Louise Michot,
Lourcine,LOC,1,?,
Lubin,LOC,2,?,
Lyon,LOC,1,?,
M. Boisrenard,PER,2,Monsieur Boisrenard,
M. Cabanon-Lebas,PER,1,Monsieur Cabanon-Lebas,
M. Carapin,PER,2,Monsieur Carapin,
M. Crèvecoeur,PER,1,Monsieur Crèvecoeur,
M. de Belvigne,PER,1,Monsieur de Belvigne,
M. de Cazolles,PER,2,Marquis de Cazolles,
M. de Marelle,PER,9,Monsieur de Marelle,
M. de Vaudrec,PER,3,George Duroy,
M. Du Roy,PER,1,George Duroy,
M. Duroy,PER,2,George Duroy,
M. et Mme Walter,PER,1,Monsieur et Madame Walter,
M. Firmin,PER,1,Monsieur Firmin,
M. Forestier,PER,3,Charles Forestier,
M. Georges Duroy,PER,4,George Duroy,
M. Guibert de Lorme,PER,1,Monsieur Guibert de Lorme,
M. Lamaneur,PER,1,Maitre Lamaneur,
M. Laroche-Mathieu,PER,10,Monsieur Laroche-Mathieu,
M. le comte de Vaudrec,PER,1,Comte de Vaudrec,
M. Linet,PER,1,Monsieur Linet,
M. Louis Langremont,PER,1,Louis Langremont,
M. Marrot,PER,1,Monsieur Marrot,
M. Morel,PER,2,Monsieur Morel,
M. Norbert de Varenne,PER,1,Norbert de Varenne,
M. Perthuis,PER,2,Monsieur Perthuis,
M. Petit,PER,1,Monsieur Petit,
M. Planton,PER,2,Monsieur Planton,
M. Plumeau,PER,1,Monsieur Plumeau,
M. Potel,PER,2,Monsieur Potel,
M. Privas,PER,1,Monsieur Privas,
M. Prosper-Georges Du Roy,PER,2,George Duroy,
M. Walter,PER,36,Monsieur Walter,
Madame de Marelle,PER,1,Clotilde de Marelle,
Madame Duroy de Cantel,PER,2,Madeleine Forestier,
Madame Madeleine Forestier,PER,1,Madeleine Forestier,
Made,PER,14,Madeleine Forestier,
Madeleine,PER,83,Madeleine Forestier,
Madeleine Du Roy,PER,1,Madeleine Forestier,
Madeleine Forestier,PER,5,Madeleine Forestier,
Maisons,LOC,1,?,
Maisons-Laffitte,LOC,1,?,
maître Lamaneur,PER,1,Maitre Lamaneur,
Mantes,LOC,2,?,
Marambot,PER,2,Monsieur Marambot,
Marcowitch,PER,1,Karl Marcowitch,
Marelle,PER,1,Famille Marelle,
Mariae,PER,1,Marie de Nazareth,
Marly,LOC,1,?,
marquis de Cazolles,PER,1,Marquis de Cazolles,
marquise des Dunes,PER,2,Marquise des Dunes,
Marrot,PER,1,Monsieur Marrot,
Mars,PER,1,Mars,
Marseille,LOC,1,?,
Matthéo de Ujar,PER,1,Matthéo de Ujar,
Maurice Leloir,PER,1,Maurice Leloir,
Me Lamaneur,PER,3,Maitre Lamaneur,
Menton,LOC,1,?,
mère Walter,PER,1,Virginie Walter,
Mlle Rose,PER,1,Rose Walter,
Mme Claire-Madeleine Du Roy,PER,2,Madeleine Forestier,
Mme Claire-Madeleine Forestier,PER,1,Madeleine Forestier,
Mme de Marelle,PER,66,Clotilde de Marelle,
Mme Du Roy,PER,3,Madeleine Forestier,
Mme Duroy,PER,2,Madeleine Forestier,
Mme Forestier,PER,43,Madeleine Forestier,
Mme Laroche Mathieu,PER,1,Madame Laroche-Mathieu,
Mme Laroche-Mathieu,PER,2,Madame Laroche-Mathieu,
Mme Rissolin,PER,2,Madame Rissolin,
Mme Walter,PER,68,Virginie Walter,
mon Dieu,PER,10,Dieu,
Mon Dieu,PER,4,Dieu,
monsieur Bel-Ami,PER,1,George Duroy,
monsieur Duroy,PER,5,George Duroy,
Monsieur Duroy,PER,1,George Duroy,
Monsieur et Madame Alexandre du Roy de Cantel,PER,1,Monsieur et Madame Alexandre Duroy,
Monsieur et Madame du Roy de Cantel,PER,1,Monsieur et Madame Alexandre Duroy,
Monsieur et Madame Walter,PER,1,Monsieur et Madame Walter,
monsieur Forestier,PER,1,Charles Forestier,
Monsieur Forestier,PER,1,Charles Forestier,
Monsieur Georges du Roy de Cantel,PER,1,George Duroy,
Monsieur Georges Duroy,PER,1,George Duroy,
monsieur Montelin,PER,1,Monsieur Montelin,
monsieur Norbert,PER,1,Norbert de Varenne,
monsieur Walter,PER,1,Monsieur Walter,
Monsieur Walter,PER,1,Monsieur Walter,
Montel,PER,1,Monsieur Montel,
Montelin,PER,3,Monsieur Montelin,
Montmartre,LOC,2,?,
Morel,PER,3,Monsieur Morel,
Musard,PER,1,Monsieur Musard,
Napoléon Ier,PER,1,Napoléon Bonaparte,
Nicolas,PER,1,Nicolas,
Norbert,PER,3,Norbert de Varenne,
Norbert de Varenne,PER,28,Norbert de Varenne,
Normand,MISC,1,?,
Normandie,LOC,1,?,
Normands,MISC,1,?,
notre Sainte Mère l ' Église,ORG,1,?,
oasis de Figuig,LOC,1,?,
Oran,LOC,2,?,
Orient,LOC,2,?,
Ostende,LOC,1,?,
Paris,LOC,63,?,
Parisienne,MISC,1,?,
Parisiennes,MISC,1,?,
patron,PER,1,Monsieur Walter,
Patronne,PER,1,Monsieur Walter,
patte blanche,MISC,1,?,
Patte blanche,PER,5,Patte blanche,
Paul,PER,1,Count de Vaudrec,
Paul-Émile-Cyprien-Gontran,PER,1,Count de Vaudrec,
pays de Rouen,LOC,1,?,
pé Duroy,PER,1,Alexandre Duroy,
Percerol,PER,1,Madame Percerol,
Persans,MISC,1,?,
Pierre de Carvin,PER,1,Pierre de Carvin,
place de la Concorde,LOC,2,?,
place Notre-Dame-de-Lorette,LOC,1,?,
Planton,PER,1,Monsieur Planton,
Poissy,LOC,2,?,
Porion,PER,1,Monsieur Porion,
Prince de la Tour-Enguerrand,PER,1,Prince de la Tour-Enguerrand,
Rachel,PER,7,Rachel,
Ravignac,PER,1,Monsieur Ravignac,
Remontel,PER,1,Madame Remontel,
Rennes,LOC,1,?,
Rissolin,PER,2,Madame Rissolin,
Rival,PER,27,Jacques Rival,
Rose,PER,8,Rose Walter,
Rose Marquetin,PER,1,Rose Marquetin,
Rouen,LOC,14,?,
rue Boursault,LOC,1,?,
rue de Constantinople,LOC,10,?,
rue de l ' Écureuil,LOC,2,?,
rue de Verneuil,LOC,2,?,
rue des Martyrs,LOC,1,?,
rue des Vosges,LOC,1,?,
Rue du Cherche-Midi à quatorze heures,MISC,1,?,
rue Fontaine,LOC,4,?,
rue La Rochefoucauld,LOC,1,?,
rue Lafayette,LOC,1,?,
rue Montmartre,LOC,1,?,
Saïda,LOC,1,?,
saint Antoine,PER,1,Saint Antoine,
Saint-Denis,LOC,1,?,
Saint-Germain,LOC,1,?,
Saint-Lazare,LOC,1,?,
Saint-Potin,PER,25,Monsieur Thomas,
Sartrouville,LOC,1,?,
Seigneur Jésus,PER,1,Jésus Christ,
Seine,LOC,1,?,
Sergent,PER,1,Monsieur Sergent,
Sèvres,LOC,2,?,
Sibérie,LOC,1,?,
Simon Ramoncel,PER,1,Simon Ramoncel,
Suisse,LOC,1,?,
Suzanne,PER,53,Suzanne Walter,
Suzanne Walter,PER,3,Suzanne Walter,
Suzette,PER,2,Suzanne Walter,
Tanger,LOC,6,?,
Thomas,PER,1,Monsieur Thomas,
Tibère,PER,1,Tiberius Julius Caesar Augustus,
Tortoni,PER,1,Tortoni,
Tout-Paris,PER,1,Peuple de Paris,
Trouville,LOC,1,?,
Tunis,LOC,3,?,
un bois de Harpignies,LOC,1,?,
un célèbre vice-roi des Indes,MISC,1,?,
un Forestier,PER,1,Famille Forestier,
un israélite,MISC,1,?,
un juif,MISC,1,?,
un juif,PER,1,Monsieur Walter,
une dame Aubert,PER,1,Madame Aubert,
une femme Aubert,PER,1,Madame Aubert,
une plage de Normandie,LOC,1,?,
une plaine d ' Algérie,LOC,1,?,
Utrecht,LOC,1,?,
vallée de la Seine,LOC,2,?,
Vaudeville,LOC,1,?,
Vaudrec,PER,17,Comte de Vaudrec,
Vauri,PER,1,Monsieur Vauri,
Vénus,PER,1,Vénus,
villa Jolie,LOC,1,?,
Virginie,PER,3,Virginie Walter,
Walter,PER,25,Monsieur Walter,
Watteau,PER,1,Jean-Antoine Watteau,
